recipenlg_어휘,flavorgraph_노드,매칭방식,recipenlg_빈도,부분후보
bell pepper,bell_pepper,정확,18719,
sesame oil,sesame_oil,정확,18375,
Onion,onion,정확,18342,
chicken stock,chicken_stock,정확,18331,
lime,lime,정확,18287,
hamburger,hamburger,정확,18275,
curry powder,curry_powder,정확,17899,
green bell pepper,green_bell_pepper,정확,17424,
peanuts,peanut,정확(수),17305,
breadcrumbs,breadcrumb,정확(수),17265,
white vinegar,white_vinegar,정확,17192,
cider vinegar,cider_vinegar,정확,16895,
beef,beef,정확,16641,
oats,oat,정확(수),16620,
lemon zest,lemon_zest,정확,16442,
stalks celery,,부분(미승인),16374,celery
cottage cheese,cottage_cheese,정확,16312,
ground cloves,ground_clove,정확(수),16279,
pineapple juice,pineapple_juice,정확,16079,
fresh parsley,fresh_parsley,정확,16038,
black olives,black_olive,정확(수),16012,
mint,mint,정확,15839,
molasses,molasses,정확,15810,
crackers,cracker,정확(수),15793,
chives,chive,정확(수),15674,
dill,dill,정확,15661,
onion powder,onion_powder,정확,15659,
maple syrup,maple_syrup,정확,15638,
dry mustard,dry_mustard,정확,15487,
pumpkin,pumpkin,정확,15452,
strawberries,,부분(미승인),15444,frozen_strawberries_in_syrup|frozen_sliced_strawberries_in_syrup
green chilies,green_chilies,정확,15284,
red wine,red_wine,정확,15240,
grated cheese,,부분(미승인),15221,cheese
Mozzarella cheese,mozzarella_cheese,정확,15148,
olives,olive,정확(수),15123,
whole wheat flour,whole_wheat_flour,정확,15061,
Egg,egg,정확,15025,
black beans,black_bean,정확(수),15012,
light brown sugar,light_brown_sugar,정확,14869,
peaches,,부분(미승인),14631,peaches_in_light_syrup|peaches_in_juice|peaches_in_heavy_syrup
fresh ginger,fresh_ginger,정확,14583,
noodles,noodle,정확(수),14572,
orange,orange,정확,14569,
shallot,shallot,정확,14460,
sage,sage,정확,14330,
dates,date,정확(수),14170,
pasta,pasta,정확,14086,
cooking oil,cooking_oil,정확,13988,
apple,apple,정확,13949,
avocado,avocado,정확,13847,
cream of tartar,cream_of_tartar,정확,13841,
yogurt,yogurt,정확,13738,
catsup,catsup,정확,13687,
yellow onion,yellow_onion,정확,13619,
Pepper,pepper,정확,13427,
pork,pork,정확,13398,
fresh ground black pepper,fresh_ground_black_pepper,정확,13360,
allspice,allspice,정확,13353,
confectioners sugar,,부분(미승인),13303,sugar
white pepper,white_pepper,정확,13120,
salsa,salsa,정확,13072,
flour tortillas,flour_tortilla,정확(수),13011,
lemons,lemon,정확(수),13003,
sesame seeds,sesame_seed,정확(수),12988,
hot sauce,hot_sauce,정확,12967,
tomato soup,tomato_soup,정확,12927,
vanilla extract,vanilla_extract,정확,12867,
salad oil,salad_oil,정확,12858,
green peppers,green_pepper,정확(수),12747,
kidney beans,kidney_bean,정확(수),12657,
salmon,salmon,정확,12647,
beef broth,beef_broth,정확,12641,
Velveeta cheese,velveeta_cheese,정확,12279,
onion soup,onion_soup,정확,12075,
graham cracker crumbs,graham_cracker_crumb,정확(수),11981,
Chicken,chicken,정확,11971,
cornmeal,cornmeal,정확,11876,
semi-sweet chocolate chips,,부분(미승인),11839,chocolate
frozen peas,frozen_pea,정확(수),11699,
light corn syrup,light_corn_syrup,정확,11659,
feta cheese,feta_cheese,정확,11655,
granulated sugar,granulated_sugar,정확,11605,
oranges,orange,정확(수),11525,
peppers,pepper,정확(수),11496,
capers,caper,정확(수),11480,
egg yolk,egg_yolk,정확,11430,
lean ground beef,lean_ground_beef,정확,11426,
banana,banana,정확,11423,
cucumbers,cucumber,정확(수),11403,
water chestnuts,water_chestnut,정확(수),11377,
horseradish,horseradish,정확,10987,
Baking Powder,baking_powder,정확,10985,
Tabasco sauce,tabasco_sauce,정확,10865,
Swiss cheese,swiss_cheese,정확,10735,
peas,pea,정확(수),10728,
turmeric,turmeric,정확,10703,
cauliflower,cauliflower,정확,10597,
sherry,,부분(미승인),10539,medium_dry_sherry|cream_sherry|cooking_sherry
tuna,tuna,정확,10406,
white wine vinegar,white_wine_vinegar,정확,10272,
active dry yeast,active_dry_yeast,정확,10257,
Brown Sugar,brown_sugar,정확,10208,
oatmeal,oatmeal,정확,10180,
rice vinegar,rice_vinegar,정확,9997,
Cinnamon,cinnamon,정확,9952,
parsley flakes,parsley_flake,정확(수),9942,
cake flour,cake_flour,정확,9941,
spinach,spinach,정확,9874,
tarragon,tarragon,정확,9871,
macaroni,macaroni,정확,9866,
orange zest,orange_zest,정확,9847,
Tomatoes,,부분(미승인),9843,diced_tomatoes_with_mild_green_chilies|ro_tel_diced_tomatoes_with_pepper|diced_tomatoes_with_juice
ground coriander,ground_coriander,정확,9836,
heavy whipping cream,heavy_whipping_cream,정확,9778,
pork chops,pork_chop,정확(수),9753,
vanilla ice cream,vanilla_ice_cream,정확,9594,
cream of celery soup,cream_of_celery_soup,정확,9547,
rolled oats,rolled_oat,정확(수),9518,
Crisco,crisco,정확,9472,
mushroom soup,mushroom_soup,정확,9463,
apple cider vinegar,apple_cider_vinegar,정확,9385,
Cooking spray,cooking_spray,정확,9355,
cayenne,cayenne,정확,9300,
Freshly ground black pepper,,부분(미승인),9296,pepper
coconut milk,coconut_milk,정확,9266,
cherry pie filling,cherry_pie_filling,정확,9226,
almond,almond,정확,9168,
turkey,turkey,정확,9117,
mandarin oranges,mandarin_orange,정확(수),9090,
fresh chives,fresh_chive,정확(수),8877,
warm water,warm_water,정확,8864,
Honey,honey,정확,8794,
fish sauce,fish_sauce,정확,8775,
whole kernel corn,whole_kernel_corn,정확,8682,
corn syrup,corn_syrup,정확,8672,
whipped cream,whipped_cream,정확,8663,
Baking Soda,baking_soda,정확,8639,
ricotta cheese,ricotta_cheese,정확,8550,
barbecue sauce,barbecue_sauce,정확,8530,
white onion,white_onion,정확,8514,
corn tortillas,corn_tortilla,정확(수),8372,
dill weed,dill_weed,정확,8371,
pastry,,부분(미승인),8330,pastry_cream|puff_pastry_sheet|pastry_crust
tomato juice,tomato_juice,정확,8247,
peanut oil,peanut_oil,정확,8233,
Mayonnaise,mayonnaise,정확,8199,
American cheese,american_cheese,정확,8167,
egg noodles,egg_noodle,정확(수),8158,
white bread,white_bread,정확,8073,
ground allspice,ground_allspice,정확,8059,
shell,,부분(미승인),7970,small_shell_pasta|frozen_mini_tart_shell|unbaked_9_inch_pie_shell
Olive oil,olive_oil,정확,7949,
condensed cream,,부분(미승인),7899,cream
Bisquick,bisquick,정확,7826,
potato,potato,정확,7731,
chili sauce,chili_sauce,정확,7725,
brandy,brandy,정확,7692,
red peppers,red_pepper,정확(수),7687,
ground pepper,,부분(미승인),7619,pepper
avocados,avocado,정확(수),7558,
pimento,pimento,정확,7552,
flaked coconut,flaked_coconut,정확,7517,
apple juice,apple_juice,정확,7474,
applesauce,applesauce,정확,7448,
crust,,부분(미승인),7381,boboli_pizza_crust|miniature_graham_cracker_pie_crust|pie_crust
sweet onion,sweet_onion,정확,7376,
lemon rind,lemon_rind,정확,7343,
Parmesan Cheese,parmesan_cheese,정확,7322,
mango,mango,정확,7295,
eggplant,eggplant,정확,7253,
vegetable broth,vegetable_broth,정확,7253,
shredded cheese,,부분(미승인),7250,cheese
Bacon,bacon,정확,7249,
Vegetable oil,vegetable_oil,정확,7232,
chicken breast,chicken_breast,정확,7199,
goat cheese,goat_cheese,정확,7196,
leeks,leek,정확(수),7194,
Italian seasoning,italian_seasoning,정확,7192,
rum,rum,정확,7094,
chickpeas,chickpea,정확(수),7089,
vanilla pudding,,부분(미승인),7079,pudding|vanilla
cherries,,부분(미승인),7060,cherries_in_syrup
yellow cake,,부분(미승인),7051,cake
pinto beans,pinto_bean,정확(수),7040,
almond extract,almond_extract,정확,7034,
spaghetti sauce,spaghetti_sauce,정확,7020,
salad dressing,salad_dressing,정확,6999,
cocoa powder,cocoa_powder,정확,6971,
coffee,coffee,정확,6965,
celery salt,celery_salt,정확,6851,
cherry tomatoes,,부분(미승인),6795,cherry
vegetable stock,vegetable_stock,정확,6768,
Cheddar Cheese,cheddar_cheese,정확,6678,
vodka,vodka,정확,6661,
fresh spinach,fresh_spinach,정확,6631,
frozen broccoli,,부분(미승인),6599,broccoli
yellow cake mix,yellow_cake_mix,정확,6537,
buns,bun,정확(수),6532,
syrup,syrup,정확,6507,
cooking spray,cooking_spray,정확,6482,
red onions,red_onion,정확(수),6450,
Filling,,부분(미승인),6447,lemon_pie_filling|raspberry_pie_filling|pie_filling
ground pork,ground_pork,정확,6413,
Parmesan,,부분(미승인),6385,fat_free_parmesan_cheese|low_fat_parmesan_cheese|vegetarian_parmesan_cheese
taco,,부분(미승인),6372,low_sodium_taco_seasoning|green_taco_sauce|mild_taco_sauce
cake,cake,정확,6348,
fresh ground pepper,fresh_ground_pepper,정확,6339,
tortilla chips,tortilla_chip,정확(수),6328,
ground turkey,ground_turkey,정확,6284,
plain yogurt,plain_yogurt,정확,6252,
red bell peppers,red_bell_pepper,정확(수),6225,
vanilla wafers,vanilla_wafer,정확(수),6210,
ground red pepper,,부분(미승인),6199,pepper
ginger ale,ginger_ale,정확,6174,
crescent rolls,crescent_roll,정확(수),6085,
mushroom,mushroom,정확,6084,
elbow macaroni,elbow_macaroni,정확,6078,
skinless,,부분(미승인),6055,skinless_chicken_breast|skinless_chicken_leg|skinless_chicken_piece
Miracle,,부분(미승인),5984,miracle_whip|miracle_whip_calorie_wise|miracle_whip_light
white rice,white_rice,정확,5975,
scallion,scallion,정확,5944,
brown rice,brown_rice,정확,5943,
fresh rosemary,fresh_rosemary,정확,5915,
Cheese,cheese,정확,5909,
bread flour,bread_flour,정확,5902,
blue cheese,blue_cheese,정확,5888,
ground chuck,ground_chuck,정확,5876,
green olives,green_olive,정확(수),5874,
marjoram,marjoram,정확,5868,
Potatoes,,부분(미승인),5854,scalloped_potatoes_mix|simply_potatoes_shredded_hash_brown|simply_potatoes_diced_potatoes_with_onion
pepperoni,pepperoni,정확,5824,
Chocolate,chocolate,정확,5748,
cake mix,cake_mix,정확,5712,
graham crackers,graham_cracker,정확(수),5707,
hearts,,부분(미승인),5687,hearts_of_palm
Lemon Juice,lemon_juice,정확,5676,
freshly ground pepper,,부분(미승인),5674,pepper
Cream Cheese,cream_cheese,정확,5674,
light cream,light_cream,정확,5660,
unflavored gelatin,unflavored_gelatin,정확,5650,
Soy sauce,soy_sauce,정확,5650,
red,,부분(미승인),5620,red_jell_o|hot_red_chili_pepper|dried_hot_red_chile
cold milk,,부분(미승인),5604,milk
baby spinach,baby_spinach,정확,5532,
Parsley,parsley,정확,5485,
arugula,arugula,정확,5473,
bell peppers,bell_pepper,정확(수),5454,
lasagna noodles,lasagna_noodle,정확(수),5427,
fresh mint,,부분(미승인),5390,mint
Italian dressing,italian_dressing,정확,5358,
corn flakes,corn_flake,정확(수),5339,
Rice Krispies,rice_krispies,정확,5337,
cashews,cashew,정확(수),5334,
fresh oregano,fresh_oregano,정확,5330,
mixed vegetables,mixed_vegetable,정확(수),5312,
apple cider,apple_cider,정확,5298,
pine nuts,pine_nut,정확(수),5298,
orange rind,orange_rind,정확,5260,
pimentos,pimento,정확(수),5257,
poultry seasoning,poultry_seasoning,정확,5254,
swiss cheese,swiss_cheese,정확,5254,
head lettuce,head_lettuce,정확,5245,
Freshly ground pepper,,부분(미승인),5242,pepper
cranberry sauce,cranberry_sauce,정확,5239,
pumpkin pie spice,pumpkin_pie_spice,정확,5230,
crabmeat,crabmeat,정확,5219,
pecan halves,,부분(미승인),5193,pecan
coriander,coriander,정확,5186,
Black Pepper,black_pepper,정확,5153,
graham cracker crust,graham_cracker_crust,정확,5122,
vanilla bean,vanilla_bean,정확,5107,
sauerkraut,sauerkraut,정확,5081,
vegetable shortening,vegetable_shortening,정확,5069,
clove Garlic,,부분(미승인),5060,garlic|clove
beer,beer,정확,5050,
Paprika,paprika,정확,5034,
cumin seeds,cumin_seed,정확(수),5003,
hot pepper,hot_pepper,정확,4998,
beef stock,beef_stock,정확,4992,
cracker crumbs,cracker_crumb,정확(수),4963,
butternut squash,butternut_squash,정확,4942,
pork tenderloin,pork_tenderloin,정확,4932,
pork sausage,pork_sausage,정확,4926,
strawberry,strawberry,정확,4925,
Carrots,carrot,정확(수),4919,
caster sugar,caster_sugar,정확,4905,
Lemon,lemon,정확,4874,
Kosher Salt,kosher_salt,정확,4830,
icing sugar,icing_sugar,정확,4826,
Cilantro,cilantro,정확,4816,
Dressing,,부분(미승인),4796,hidden_valley_original_ranch_dressing|italian_salad_dressing|kraft_zesty_italian_dressing
Italian sausage,italian_sausage,정확,4787,
broccoli florets,broccoli_floret,정확(수),4779,
yellow cornmeal,yellow_cornmeal,정확,4767,
bittersweet chocolate,bittersweet_chocolate,정확,4742,
sweet red pepper,sweet_red_pepper,정확,4740,
italian seasoning,italian_seasoning,정확,4733,
Topping,,부분(미승인),4699,strawberry_ice_cream_topping|frozen_whipped_topping|pizza_topping
T,,부분(미승인),4698,beef_t_bone_steak
raspberries,,부분(미승인),4665,frozen_raspberries_in_light_syrup
golden raisins,golden_raisin,정확(수),4652,
black peppercorns,black_peppercorn,정확(수),4636,
topping,,부분(미승인),4614,strawberry_ice_cream_topping|frozen_whipped_topping|pizza_topping
yellow squash,yellow_squash,정확,4544,
rhubarb,rhubarb,정확,4528,
bean sprouts,bean_sprout,정확(수),4500,
green bell peppers,green_bell_pepper,정확(수),4494,
ground turmeric,ground_turmeric,정확,4484,
Cocoa,cocoa,정확,4469,
sauce,,부분(미승인),4459,kikkoman_soy_sauce|pesto_sauce|low_sodium_tomato_sauce
tomato puree,tomato_puree,정확,4458,
flat leaf parsley,flat_leaf_parsley,정확,4455,
onion salt,onion_salt,정확,4442,
sunflower seeds,sunflower_seed,정확(수),4440,
strawberry jello,,부분(미승인),4428,strawberry
liquid smoke,liquid_smoke,정확,4406,
white chocolate,white_chocolate,정확,4403,
coconut oil,coconut_oil,정확,4399,
gingerroot,gingerroot,정확,4394,
cold butter,,부분(미승인),4378,butter
frozen spinach,frozen_spinach,정확,4363,
vegetables,vegetable,정확(수),4353,
chocolate cake,chocolate_cake,정확,4343,
Oregano,oregano,정확,4339,
long grain rice,long_grain_rice,정확,4333,
Powdered Sugar,powdered_sugar,정확,4321,
crab meat,,부분(미승인),4302,crab|meat
dressing,,부분(미승인),4274,hidden_valley_original_ranch_dressing|italian_salad_dressing|kraft_zesty_italian_dressing
vanilla instant pudding,,부분(미승인),4256,pudding|vanilla
beets,beet,정확(수),4250,
lemon pepper,lemon_pepper,정확,4246,
pizza sauce,pizza_sauce,정확,4236,
Sour Cream,sour_cream,정확,4224,
hazelnuts,hazelnut,정확(수),4191,
Chocolate Chips,chocolate_chip,정확(수),4189,
Cream,cream,정확,4186,
Oil,oil,정확,4178,
rice wine vinegar,rice_wine_vinegar,정확,4162,
cinnamon sticks,cinnamon_stick,정확(수),4152,
Vegetable Oil,vegetable_oil,정확,4145,
ground cardamom,ground_cardamom,정확,4112,
yellow onions,yellow_onion,정확(수),4111,
Wesson oil,wesson_oil,정확,4091,
pie shell,pie_shell,정확,4066,
spaghetti,spaghetti,정확,4062,
Red Pepper,red_pepper,정확,4043,
Bread,bread,정확,3975,
fruit cocktail,fruit_cocktail,정확,3968,
curry,curry,정확,3944,
Basil,basil,정확,3911,
garam masala,garam_masala,정확,3876,
butterscotch chips,butterscotch_chip,정확(수),3874,
green chiles,,부분(미승인),3859,green
Rice,rice,정확,3856,
couscous,couscous,정확,3854,
cereal,cereal,정확,3847,
red kidney beans,red_kidney_bean,정확(수),3845,
poppy seed,poppy_seed,정확,3837,
Celery,celery,정확,3830,
chocolate syrup,chocolate_syrup,정확,3825,
yellow bell pepper,yellow_bell_pepper,정확,3824,
corn oil,corn_oil,정확,3800,
pumpkin puree,pumpkin_puree,정확,3799,
Cheddar,,부분(미승인),3795,sharp_cheddar_cheese|kraft_shredded_triple_cheddar_cheese_with_a_touch_of_philadelphia|sharp_white_cheddar_cheese
hoisin sauce,hoisin_sauce,정확,3787,
lard,lard,정확,3767,
fresh dill,fresh_dill,정확,3757,
O,,부분(미승인),3746,red_jell_o|jell_o_chocolate_instant_pudding|lemon_jell_o_gelatin
coloring,,부분(미승인),3739,food_coloring|red_food_coloring_paste|green_food_coloring
lime zest,lime_zest,정확,3738,
frozen corn,,부분(미승인),3737,corn
cranberry juice,cranberry_juice,정확,3730,
sweet milk,sweet_milk,정확,3712,
shredded lettuce,,부분(미승인),3705,lettuce
potato chips,potato_chip,정확(수),3686,
linguine,linguine,정확,3685,
pistachios,pistachio,정확(수),3676,
Thyme,thyme,정확,3670,
quinoa,quinoa,정확,3669,
taco seasoning,taco_seasoning,정확,3667,
lemon peel,lemon_peel,정확,3664,
celery stalks,,부분(미승인),3659,celery
pimiento,pimiento,정확,3639,
dark rum,dark_rum,정확,3630,
romaine lettuce,romaine_lettuce,정확,3629,
pretzels,pretzel,정확(수),3629,
jalapeno peppers,jalapeno_pepper,정확(수),3603,
shiitake mushrooms,shiitake_mushroom,정확(수),3603,
Heavy Cream,heavy_cream,정확,3597,
corn meal,,부분(미승인),3583,meal|corn
Italian salad dressing,italian_salad_dressing,정확,3572,
vanilla flavoring,vanilla_flavoring,정확,3563,
Cornstarch,cornstarch,정확,3563,
Cumin,cumin,정확,3554,
garbanzo beans,garbanzo_bean,정확(수),3553,
Onions,onion,정확(수),3544,
unsweetened applesauce,unsweetened_applesauce,정확,3525,
Tomato,tomato,정확,3507,
instant vanilla pudding,instant_vanilla_pudding,정확,3503,
coarse salt,,부분(미승인),3501,salt
currants,currant,정확(수),3497,
Mozzarella Cheese,mozzarella_cheese,정확,3490,
Pecans,pecan,정확(수),3473,
corn kernels,corn_kernel,정확(수),3468,
Ginger,ginger,정확,3467,
pepper sauce,pepper_sauce,정확,3461,
yellow mustard,yellow_mustard,정확,3459,
Walnuts,walnut,정확(수),3444,
jalapeno pepper,jalapeno_pepper,정확,3439,
peppercorns,peppercorn,정확(수),3434,
Vinegar,vinegar,정확,3429,
orange marmalade,orange_marmalade,정확,3417,
Sauce,,부분(미승인),3403,kikkoman_soy_sauce|pesto_sauce|low_sodium_tomato_sauce
spring onions,spring_onion,정확(수),3398,
sharp cheese,,부분(미승인),3393,cheese
egg white,egg_white,정확,3390,
mozzarella,,부분(미승인),3384,fresh_mozzarella_cheese|fresh_mozzarella_ball|fat_free_mozzarella_cheese
gelatin,gelatin,정확,3377,
hot water,,부분(미승인),3366,water
bourbon,bourbon,정확,3364,
grape tomatoes,,부분(미승인),3353,grape
apricots,apricot,정확(수),3352,
caramels,caramel,정확(수),3352,
oyster sauce,oyster_sauce,정확,3351,
PHILADELPHIA Cream Cheese,philadelphia_cream_cheese,정확,3350,
all-purpose flour,,부분(미승인),3348,flour
chiles,chile,정확(수),3337,
bacon bits,bacon_bit,정확(수),3335,
Nutmeg,nutmeg,정확,3321,
jalapenos,jalapeno,정확(수),3314,
grapes,grape,정확(수),3308,
Carrot,carrot,정확,3305,
eggplants,eggplant,정확(수),3298,
picante sauce,picante_sauce,정확,3285,
lamb,lamb,정확,3269,
egg substitute,egg_substitute,정확,3262,
milk chocolate,milk_chocolate,정확,3260,
worcestershire sauce,worcestershire_sauce,정확,3259,
apricot preserves,apricot_preserve,정확(수),3252,
FILLING,,부분(미승인),3249,lemon_pie_filling|raspberry_pie_filling|pie_filling
Chicken Broth,chicken_broth,정확,3246,
snow peas,snow_pea,정확(수),3236,
fresh sage,fresh_sage,정확,3235,
pecan,pecan,정확,3229,
sour milk,sour_milk,정확,3221,
Black pepper,black_pepper,정확,3219,
fennel seeds,fennel_seed,정확(수),3213,
sweet potato,sweet_potato,정확,3209,
Soy Sauce,soy_sauce,정확,3209,
rolls,roll,정확(수),3207,
coriander seeds,coriander_seed,정확(수),3205,
pancetta,pancetta,정확,3193,
green peas,green_pea,정확(수),3192,
frozen whipped topping,frozen_whipped_topping,정확,3175,
Crust,,부분(미승인),3167,boboli_pizza_crust|miniature_graham_cracker_pie_crust|pie_crust
anchovy,anchovy,정확,3163,
freshly squeezed lemon juice,,부분(미승인),3162,juice|lemon
lemon extract,lemon_extract,정확,3155,
Italian parsley,italian_parsley,정확,3155,
unsweetened cocoa,,부분(미승인),3132,cocoa
ground mustard,ground_mustard,정확,3119,
head cabbage,,부분(미승인),3102,cabbage
Buttermilk,buttermilk,정확,3098,
clove,clove,정확,3092,
fennel,fennel,정확,3090,
fresh garlic,,부분(미승인),3080,garlic
meal,meal,정확,3079,
croutons,crouton,정확(수),3079,
tortillas,tortilla,정확(수),3075,
ground meat,ground_meat,정확,3073,
Italian Dressing,italian_dressing,정확,3067,
chicken thighs,chicken_thigh,정확(수),3064,
tahini,tahini,정확,3062,
thin,,부분(미승인),3061,thin_pizza_crust|thin_soy_sauce|thin_mint_cooky
chicken breast halves,chicken_breast_halve,정확(수),3043,
Ricotta cheese,ricotta_cheese,정확,3023,
Lemon juice,lemon_juice,정확,3021,
green cabbage,green_cabbage,정확,3002,
sherry vinegar,,부분(미승인),3000,vinegar
cookies,cookie,정확(수),2996,
Chicken Breasts,chicken_breast,정확(수),2994,
provolone cheese,provolone_cheese,정확,2979,
enchilada sauce,enchilada_sauce,정확,2974,
penne pasta,penne_pasta,정확,2974,
fish,fish,정확,2971,
unsweetened chocolate,unsweetened_chocolate,정확,2965,
Worcestershire,,부분(미승인),2964,white_wine_worcestershire_sauce|vegetarian_worcestershire_sauce|reduced_sodium_worcestershire_sauce
wine vinegar,wine_vinegar,정확,2960,
onion flakes,onion_flake,정확(수),2960,
mint leaves,,부분(미승인),2960,mint
creme fraiche,creme_fraiche,정확,2937,
frozen lemonade,frozen_lemonade,정확,2933,
cream-style corn,,부분(미승인),2932,corn
olive,olive,정확,2930,
cannellini beans,cannellini_bean,정확(수),2930,
Mushrooms,mushroom,정확(수),2923,
Red Onion,red_onion,정확,2922,
jalapeno,jalapeno,정확,2921,
club soda,club_soda,정확,2919,
button mushrooms,button_mushroom,정확(수),2918,
taco sauce,taco_sauce,정확,2902,
