herb,candidate,cook_count,cook_rank_inv,cook_pmi,fg_cosine,fdb_rank_inv,qi_diff,qi_B,wei_jac,gui_jac,mask_cook,mask_flavor,mask_qi,mask_wei,mask_gui,mask_prop,miss_qi,miss_wei,miss_gui,label_claude,label_llama,label_gpt
강황,셀러리,1.609438,0.058824,0.870828,0.080403,0.0,1.0,-1.0,0.333333,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,대파,0.0,0.0,0.0,0.034234,0.0,3.0,1.0,0.5,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,코코넛밀크,1.609438,0.043478,1.563976,0.382912,0.0,1.0,-1.0,0.0,0.0,1,1,1,1,0,1,0,0,1,1,1,1
강황,민트,0.0,0.0,0.0,0.123985,0.0,1.0,-1.0,0.5,0.25,1,1,1,1,1,1,0,0,0,0,0,0
강황,팔각,0.0,0.0,0.0,0.212975,0.0,3.0,1.0,0.333333,0.166667,1,1,1,1,1,1,0,0,0,0,0,0
강황,토마토,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.2,0,0,1,1,1,1,0,0,0,0,0,0
강황,돼지고기,0.0,0.0,0.0,0.075851,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,호두,0.0,0.0,0.0,0.086284,0.0,3.0,1.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,월계수,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5,0.0,0,0,1,1,0,1,0,0,1,0,0,0
강황,배,0.0,0.0,0.0,0.157422,0.0,1.0,-1.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,딜,0.0,0.0,0.0,0.193199,0.090909,3.0,1.0,0.5,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,타임,1.098612,0.029412,0.465363,0.186917,0.2,3.0,1.0,0.5,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,커민,1.791759,0.071429,1.327587,0.252597,0.0625,3.0,1.0,0.5,0.0,1,1,1,1,0,1,0,0,1,1,1,1
강황,라임,1.098612,0.02,1.05315,0.165917,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,밀가루,1.386294,0.034483,0.0,0.028184,0.0,1.0,-1.0,0.0,0.2,1,1,1,1,1,1,0,0,0,0,0,0
강황,아몬드,0.0,0.0,0.0,0.097003,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1,0,0,0
강황,참기름,0.0,0.0,0.0,0.074518,0.0,2.0,0.0,0.333333,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,파슬리,0.0,0.0,0.0,0.11879,0.058824,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,오레가노,0.693147,0.014706,0.177681,0.168873,0.333333,1.0,-1.0,1.0,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,블랙커런트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,회향,0.0,0.0,0.0,0.178877,0.083333,3.0,1.0,0.5,0.166667,0,1,1,1,1,1,0,0,0,0,0,0
강황,올스파이스,0.693147,0.00885,0.0,0.148372,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,차,0.0,0.0,0.0,0.106807,0.0,0.0,-2.0,0.333333,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,강황,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,1.0,1.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,버섯,0.0,0.0,0.0,0.12259,0.0,2.0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,초콜릿,0.0,0.0,0.0,0.067163,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,식초,0.0,0.0,0.0,0.147784,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,계란,0.0,0.0,0.0,0.029613,0.0,2.0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0
강황,건포도,0.0,0.0,0.0,0.059481,0.0,2.0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,식용유,2.079442,0.142857,1.142762,0.103385,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,바나나,0.0,0.0,0.0,0.112394,0.0,0.0,-2.0,0.0,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,코코넛,0.693147,0.008333,0.716678,0.195584,0.0,2.0,0.0,0.333333,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,살구,0.0,0.0,0.0,0.19217,0.0,3.0,1.0,0.0,0.25,0,1,1,1,1,1,0,0,0,0,0,0
강황,마조람,0.0,0.0,0.0,0.190945,0.111111,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,딸기,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,0
강황,양고기,0.0,0.0,0.0,0.227632,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,1,0
강황,표고버섯,0.0,0.0,0.0,0.120512,0.0,2.0,0.0,0.0,0.25,0,1,1,1,1,1,0,0,0,0,0,0
강황,소금후추,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,쌀,0.693147,0.006579,0.360003,0.118863,0.0,2.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,망고,0.0,0.0,0.0,0.103608,0.0,0.0,-2.0,0.0,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,구아바,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0,0
강황,소고기,0.0,0.0,0.0,0.085421,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,파인애플,0.0,0.0,0.0,0.072523,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,메이플시럽,0.0,0.0,0.0,0.157793,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,고구마,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,1,0,1,1
강황,요거트,0.693147,0.008621,1.05315,0.243323,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,1,1,1
강황,닭육수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,감자,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,0
강황,된장,0.0,0.0,0.0,0.111142,0.0,1.0,-1.0,1.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,만다린오렌지,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0,0
강황,녹차,0.0,0.0,0.0,0.115853,0.0,0.0,-2.0,0.333333,0.0,0,1,1,1,0,1,0,0,1,0,0,0
강황,구기자,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0,0,1,1,1,1,0,0,0,0,0,0
강황,깨,0.0,0.0,0.0,0.17981,0.0,2.0,0.0,0.333333,0.0,0,1,1,1,0,1,0,0,1,0,0,0
강황,새우,0.0,0.0,0.0,0.029146,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,우유,0.693147,0.009346,0.0,-0.002683,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,크림,0.0,0.0,0.0,0.035094,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,소금,0.0,0.0,0.0,0.117131,0.0,0.0,-2.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0
강황,무,0.0,0.0,0.0,0.0,0.0,1.5,-0.5,0.333333,0.0,0,0,1,1,1,1,0,0,0,0,0,0
강황,카이엔페퍼,1.791759,0.090909,1.276293,0.128058,0.0,4.0,2.0,0.5,0.0,1,1,1,1,1,1,0,0,0,0,1,0
강황,오이,1.098612,0.019608,0.647685,0.143353,0.0,1.0,-1.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,레몬그라스,0.0,0.0,0.0,0.312309,0.0,3.0,1.0,0.5,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,아보카도,0.0,0.0,0.0,0.019522,0.0,2.0,0.0,0.0,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,귀리,0.0,0.0,0.0,0.153711,0.0,2.0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0
강황,아티초크,0.0,0.0,0.0,0.17482,0.0,2.0,0.0,0.0,0.0,0,1,1,1,0,1,0,0,1,0,0,0
강황,히솝오일,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,세이지,0.0,0.0,0.0,0.183374,0.076923,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,계화,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5,0.0,0,0,1,1,1,1,0,0,0,0,0,0
강황,렌틸콩,0.0,0.0,0.0,0.230314,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1,1,0,1
강황,대추,0.0,0.0,0.0,0.146529,0.0,3.0,1.0,0.0,0.2,0,1,1,1,1,1,0,0,0,0,0,0
강황,커피,0.0,0.0,0.0,0.064997,0.0,2.0,0.0,0.333333,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,화자오,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,시금치,0.693147,0.007463,0.870828,0.123581,0.0,2.0,0.0,0.0,0.166667,1,1,1,1,1,1,0,0,0,0,1,1
강황,베이킹소다,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,베이킹파우더,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,다시,0.0,0.0,0.0,0.192781,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,연근,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.333333,0,0,1,1,1,1,0,0,0,0,0,0
강황,미림,0.0,0.0,0.0,0.076224,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,두부,0.693147,0.015625,0.870828,0.147998,0.0,1.0,-1.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,사케,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,화이트와인,0.0,0.0,0.0,0.004159,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,옥수수,0.0,0.0,0.0,0.17708,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1,0,0,0
강황,대추야자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,파파야,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.25,0,0,1,1,1,1,0,0,0,0,0,0
강황,무화과,0.0,0.0,0.0,0.11087,0.0,1.0,-1.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,포도,0.0,0.0,0.0,0.085578,0.0,2.0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,파마산치즈,0.0,0.0,0.0,0.040345,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,피칸,0.0,0.0,0.0,0.08279,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1,0,0,0
강황,호박,0.0,0.0,0.0,0.115761,0.0,2.0,0.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,페타치즈,0.0,0.0,0.0,0.043673,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,수박,0.0,0.0,0.0,0.051054,0.0,0.0,-2.0,0.0,0.2,0,1,1,1,1,1,0,0,0,0,0,0
강황,베이컨,0.693147,0.011905,0.583146,0.042613,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,콜리플라워,1.609438,0.05,2.102972,0.263886,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,1,1,1
강황,감초,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.166667,0,0,1,1,1,1,0,0,0,0,0,0
강황,피스타치오,0.0,0.0,0.0,0.163449,0.0,3.0,1.0,0.333333,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,찹쌀,0.0,0.0,0.0,0.105454,0.0,3.0,1.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,계란노른자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,오렌지주스,0.693147,0.011364,0.0,0.119371,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,피망,0.693147,0.007812,1.05315,0.147111,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,체리모야,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,레드커런트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,엘더베리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,보리,0.0,0.0,0.0,0.141146,0.0,1.0,-1.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,빵,0.0,0.0,0.0,0.091525,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,러비지,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,패션프루트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,메밀,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0,0
강황,아주완씨앗,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,자몽,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,크랜베리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,용안육,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.25,0,0,1,1,1,1,0,0,0,0,0,0
강황,홍차,0.0,0.0,0.0,0.106807,0.0,0.0,-2.0,0.333333,0.0,1,1,1,1,0,1,0,0,1,0,0,0
강황,인삼,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.333333,0.2,0,0,1,1,1,1,0,0,0,0,0,0
강황,연자육,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.2,0,0,1,1,1,1,0,0,0,0,0,0
강황,주니퍼베리,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.5,0.333333,0,0,1,1,1,1,0,0,0,0,0,0
강황,루바브,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.5,0.285714,0,0,1,1,1,1,0,0,0,0,0,0
강황,흰강낭콩,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,레드와인,0.693147,0.013514,0.264693,-0.014322,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,프로슈토,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,베리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,오리고기,0.0,0.0,0.0,0.09378,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1,0,0,0
강황,병아리콩,0.0,0.0,0.0,0.267784,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1,1,0,0
강황,완두콩,0.0,0.0,0.0,0.076231,0.0,2.0,0.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,복숭아,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0,0,1,1,1,1,0,0,0,0,0,0
강황,호로파,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.5,0.0,0,0,1,1,1,1,0,0,0,1,0,1
강황,겨자씨,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.5,0.0,0,0,1,1,1,1,0,0,0,1,0,1
강황,국화,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0.666667,0.25,0,0,1,1,1,1,0,0,0,0,0,0
강황,청경채,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,오향분,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,카이란,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,파스닙,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,생선,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,아스파라거스,0.0,0.0,0.0,0.065017,0.0,0.0,-2.0,0.0,0.0,0,1,1,1,1,1,0,0,0,0,0,0
강황,케이퍼,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,굴소스,0.0,0.0,0.0,0.119446,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,바닐라빈,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,석류,0.0,0.0,0.0,0.178496,0.0,3.0,1.0,0.0,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,커런트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,젤라틴,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,lindisfarne mead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,1,1,0,0,0
강황,체리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,비트,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0,0,1,1,0,1,0,0,1,0,0,0
강황,토마토페이스트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,양배추,0.693147,0.007874,0.097638,0.157384,0.0,1.0,-1.0,0.333333,0.0,1,1,1,1,1,1,0,0,0,0,0,0
강황,토란,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0,0,1,1,0,1,0,0,1,0,0,0
강황,전분,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,우엉,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.333333,0.25,0,0,1,1,1,1,0,0,0,0,0,0
강황,파프리카,1.386294,0.041667,1.196251,0.154894,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,이스트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,호밀가루,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,vodka,0.0,0.0,0.0,0.061515,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,orange juice concentrate,0.0,0.0,0.0,0.180684,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,계란흰자,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,바닐라익스트랙,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,tang orange crystal,0.0,0.0,0.0,0.107926,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,플레인요거트,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,strawberry,0.0,0.0,0.0,0.095985,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,빨간파프리카,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,채소육수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,couscous,0.0,0.0,0.0,0.213985,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,lamb,0.0,0.0,0.0,0.227632,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,saffron,0.0,0.0,0.0,0.260946,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,1,1,1,0,0,0
강황,켈프,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,페이조아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,두리안,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,빌베리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,자두,0.0,0.0,0.0,0.094295,0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,1,1,1,0,0,0
강황,멜론,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,카놀라유,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,레몬밤,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,사워체리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,블루베리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,링곤베리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,쓴체리,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,카시아,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
강황,키위,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,1,1,0,0,0
